SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-UW24021451842/2024,GISAID; GenBank,EPI_ISL_18942406,PP406978.1,2024-02-14,Clark County
USA/WA-CDC-LC1004654/2023,GISAID; GenBank,EPI_ISL_16915853,OQ431788.1,2023-01-24,Clark County
USA/WA-CDC-LC1103001/2024,GISAID; GenBank,EPI_ISL_19054150,PP663920.1,2024-03-29,Clark County
USA/WA-UW-23020203869/2023,GISAID; GenBank,EPI_ISL_17580144,OQ443037.1,2023-02-02,Clark County
USA/WA-CDC-LC1036464/2023,GISAID; GenBank,EPI_ISL_17524160,OQ852205.1,2023-04-06,Clark County
USA/WA-CDC-QDX45962590/2023,GISAID; GenBank,EPI_ISL_16892124,OQ419584.1,2023-01-23,Clark County
USA/WA-CDC-QDX92231927/2024,GISAID; GenBank,EPI_ISL_18920643,PP349407.1,2024-02-02,Clark County
USA/WA-S24655/2023,GISAID; GenBank,EPI_ISL_18879317,PP319576.1,2023-12-21,Clark County
USA/WA-S22667/2023,GISAID; GenBank,EPI_ISL_16483498,OQ232535.1,2023-01-02,Clark County
USA/WA-CDC-LC0994442/2023,GISAID; GenBank,EPI_ISL_16741791,OQ353167.1,2023-01-10,Clark County
USA/WA-CDC-LC1017738/2023,GISAID; GenBank,EPI_ISL_17224178,OQ631393.1,2023-02-16,Clark County
USA/WA-CDC-LC1008214/2023,GISAID; GenBank,EPI_ISL_16957547,OQ449807.1,2023-02-04,Clark County
USA/WA-S24437/2023,GISAID; GenBank,EPI_ISL_18720379,PP082314.1,2023-11-02,Clark County
USA/WA-UW-24021700637/2024,GISAID; GenBank,EPI_ISL_19138363,PP496927.1,2024-02-17,Clark County
USA/WA-CDC-QDX45789740/2023,GISAID; GenBank,EPI_ISL_16823684,OQ380098.1,2023-01-16,Clark County
USA/WA-S24254/2023,GISAID; GenBank,EPI_ISL_18720200,PP082133.1,2023-09-06,Clark County
USA/WA-S24371/2023,GISAID; GenBank,EPI_ISL_18720314,PP082249.1,2023-09-27,Clark County
USA/WA-CDC-QDX92473618/2024,GISAID; GenBank,EPI_ISL_18921150,PP374586.1,2024-02-06,Clark County
USA/WA-CDC-LC0994434/2023,GISAID; GenBank,EPI_ISL_16741789,OQ353165.1,2023-01-10,Clark County
USA/WA-S25129/2024,GISAID; GenBank,EPI_ISL_19032486,PP702498.1,2024-02-09,Clark County
USA/WA-CDC-QDX85770737/2023,GISAID; GenBank,EPI_ISL_18379492,OR662301.1,2023-09-27,Clark County
USA/WA-S24139/2023,GISAID; GenBank,EPI_ISL_18615675,OR948705.1,2023-09-06,Clark County
USA/WA-S24605/2023,GISAID; GenBank,EPI_ISL_18879270,PP319526.1,2023-12-08,Clark County
USA/WA-CDC-LC1004727/2023,GISAID; GenBank,EPI_ISL_16916374,OQ432233.1,2023-01-31,Clark County
USA/WA-CDC-LC0998426/2023,GISAID; GenBank,EPI_ISL_16762983,OQ364244.1,2023-01-19,Clark County
USA/WA-CDC-QDX85770739/2023,GISAID; GenBank,EPI_ISL_18379541,OR662350.1,2023-09-27,Clark County
USA/WA-CDC-QDX87530131/2023,GISAID; GenBank,EPI_ISL_18547980,OR858362.1,2023-11-08,Clark County
USA/WA-CDC-QDX84402804/2023,GISAID; GenBank,EPI_ISL_18375288,OR656023.1,2023-08-25,Clark County
