Dubnica Nd Váhom	Dubnica nad Vahom
Mala N, Hronom	Malá nad Hronom
Turciansketeplice	Turcianske Teplice
Sucha Hora	Suchá Hora
Dolny Kubin	Dolný Kubín
Mala N, Hronom	Malá nad Hronom
Oravska Jasenic	Oravska Jasenica
Dvory N, Zitavou	Dvory nad Žitavou
Vranov nad Toplou	Vranov nad Toplov
Turcianska Stavnicka	Turčianska Štiavnička
Tvrodsin	Tvrdosin
Stropkov Region	Stropkov
Zilina Region	Zilina
Dolny Kubin Region	Dolný Kubín
Rimavka Sobota	Rimavská Sobota
Cierne Pri Cadci	Čierne
Diviaky	Diviaky nad Nitricou
Zlat Moravce	Zlaté Moravce
Komano	Komarno
Bardejov Region	Bardejov
Humenne Region	Humenne
Kosice Region	Kosice
Senica Region	Senica
Senec Region	Senec
Banovce nad Bebravou Region	Banovce nad Bebravou
Rimavske Sobota	Rimavska Sobota
Šaľa Region	Sala
Medzilaborce Region	Medzilaborce
Leopolodov	Leopoldov
Sobrance Region	Sobrance
Hlohovec Region	Hlohovec
Michalovce Region	Michalovce
Košice Region	Kosice
Humenné Region	Humenné
Nižné Raslavice	Raslavice
Rožňava Region	Rožňava
Trebišov Region	Trebisov
Nitra Region	Nitra

